id,cluster
q3602E0,3
q31BCE7,3
q38E8E2,7
q3282E5,8
q3F00E9,1
q82C0ED,11
q8EA0E9,9
q8BE9E9,3
q8558EE,9
q8661EE,12
q40E962,3
q493862,3
q4D116D,0
q441E65,6
q469A6C,2
qF5ED6D,8
qFAE16D,4
qF51466,4
q0C4461,3
q0F6162,1
q7E8660,3
q78246B,1
q7ADB6D,3
q79B865,1
q781869,12
q74DC6E,1
q7E586E,12
q757E66,16
qB49764,5
qB2F56F,2
qB8D860,1
qB20461,3
qB8A961,0
qB7E06E,3
qB11268,12
qB09468,4
q17316F,3
q1FF860,10
q19A46A,6
q1B0569,3
q147969,7
q1B9966,7
q2FAF64,2
q2F6560,1
q29FD62,11
q230665,1
q2BD565,8
qDA7A61,15
qDC0D68,1
q5F216C,1
q52DD69,3
q53656E,6
q576D66,3
qC80564,14
qCD2264,6
qCB786F,12
qCB5F6B,3
qCAC16C,14
q90756A,1
q9FC86C,5
qE6EF64,1
qEEA76F,3
qE92465,6
qE0046A,14
qE86C6A,10
qEEEF6C,11
qE19566,10
qE48166,2
qE8A763,12
q662864,1
q676461,1
q65BE62,13
q6C2B6C,2
q68A86C,0
q63E668,3
q365764,3
q3DFB62,17
q32E96D,5
q86BA6E,13
q80D166,9
q8D9B66,1
q46083D,5
q48A03D,1
q449F35,14
q473535,1
q4C0E3A,12
q4D983A,5
q4E4333,9
q415933,11
q4E6E33,6
qFA6E37,12
qF16F3B,12
qF4AF39,3
qF05133,8
q073234,0
q049337,4
q07AB3A,14
q70403F,1
q774D37,14
q7C773B,8
q79BF33,1
qB86137,7
qB7A231,1
qBEF63A,1
q1A603F,3
q1FCD37,10
q163935,9
q158838,3
q219430,7
q21EE32,1
q2D813D,3
q2A4136,2
q2AD233,8
qD09030,13
qD20E35,3
qDAA335,7
qD0EF3A,3
qD1EF3E,4
qD96538,12
qDB8538,14
q5E2837,6
q550D33,7
qAE4E3F,16
qABA737,7
qA97832,1
qA0403A,6
qA0983E,15
qAB0F36,3
qC9AC3B,1
qCEE03D,1
qCD6F3D,18
q957535,12
q9B2535,18
qE9F137,12
qE19B3C,1
qE5DF39,18
qEFDE36,13
q6ECC3F,10
q6D1737,11
q60B53E,2
q6CEC36,1
q37C930,3
q34A537,6
q32203B,6
q3FAF3B,2
q3DEB39,1
q810334,8
q88B231,9
q849E31,10
q876731,0
q87EB3C,12
q4B238F,1
q4BA280,4
q44D18A,7
q46C98A,3
q45EB89,12
q46A583,3
qF61987,8
qF83782,2
qFE948A,7
q0BC080,12
q03228B,2
q09BF8D,2
q09A68A,13
q72758A,3
q76678C,1
q701D8E,1
q7C2F86,12
q73BC83,1
qB05882,18
qB22D89,6
qB40A88,3
qB7CE88,16
q127580,3
q16EC80,6
q171681,1
q1A168D,12
q1DAE85,4
q1EE686,4
q27A984,17
q254C8F,3
q2D4380,1
q2E758B,6
q2CBE8B,5
q29568B,3
q2EC28B,10
q27C381,3
q2AE782,1
q2C868D,12
q28F08A,2
q27368C,6
q2F498E,5
qD6C480,5
qDB8885,3
q51F287,6
q521887,8
q564F81,6
q51D082,1
q5C1E85,5
q5D3089,3
q5CFD83,8
qA7C780,8
qA8AF85,9
qA58E8A,19
qAB4186,2
qACA486,2
qA66686,1
qAEB788,6
q985484,6
q90AA89,2
q9F6D86,6
qE15580,3
qE98B8B,15
qE60E81,5
qE32F82,6
qE86985,12
qE8B488,1
q6D1184,20
q608E82,4
q6B968A,12
q3B668F,12
q329080,11
q374085,1
q3C988A,6
q3C5586,14
q347983,6
q804081,7
q83E581,3
q875B8A,14
q83AD8A,3
q1BA148,9
qDA7A46,9
q0E70FB,9
q51250F,9
qCA4506,9
qD0E2BB,12
qF89A1E,9
q16BE17,12
qC71D1D,9
qCA391D,9
qC41426,12
q535FCA,12
q19F797,9
q5B169A,9
q46C66B,12
q29A164,9
q5E8C65,9
qF90A33,9
q767B3C,9
q660845,7
q42A4FE,7
q03ADF2,7
qB214FE,7
qD7197F,7
